Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,..,..,38.6278918638443,37.4188554431481,29.7210671376957,31.114854912062,28.6359685844686,30.1050113574013,24.8922700059742,29.2975010547259,26.2100685374552,23.7436639877543,24.390873626371,22.8106627361766,22.1370413719574,20.6343227166798,25.7403140364582,26.4201990834448,22.0428967527575,25.7739707394105,26.8206001075115
Afghanistan,AFG,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,..,..,18.8227521829407,16.9238662341696,17.5540062570161,16.5982122192596,16.3855371972017,17.7473095255876,17.839116299,13.14987660941,12.5225768432907,13.7791892429929,12.4860851363953,11.4998672561905,11.477587555803,11.4200060049012,4.1141966128347,3.53042246146676,6.16017721650239,7.04318108092508,7.67625685837314
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,..,..,36.1511545995992,37.4448038407261,41.1108953364243,39.0077871841904,39.8310243252872,40.294685221301,45.4098308716488,45.2444349261482,48.8793769096891,49.6968203962567,50.5793979236606,52.6827434733525,52.9908650351499,53.2352934986503,59.0232164144095,58.3290500097748,59.4774229106653,55.4728067408306,54.6883422622417
Albania,ALB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,24.5154120419235,22.7161641958722,22.0251140879353,21.9782570845961,20.537486307981,18.8453087247237,17.7083536239523,17.1536195739533,16.8370538440754,16.7943836018798,17.9558663972347,18.2267896025292,18.7668018946422,19.5651578123229,19.9901813581977,19.7802144171366,19.8499944651163,19.0221488477376,18.4294792485754,18.391243514771,19.1219626147078
Albania,ALB,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,4.31784580575779,4.09904001959361,4.06654283252579,4.12416007365678,4.17755701844762,4.42584401421105,4.90492532097372,5.29679097861481,4.99779767478874,5.19758098355153,5.45212540687051,5.66189767373199,4.61445771380938,5.05980135594677,5.32578898520395,5.67151941669391,5.68442741798015,6.15814709362878,6.13326197157627,6.2608727520779,6.18967463277529
Albania,ALB,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,44.302961498327,44.9430205750654,43.7765154121089,41.9114761161393,42.5804168880888,43.5544783831139,43.5234063031734,44.6398240133896,44.6991512719816,45.3172205438066,44.0255879707497,44.256372325899,44.9546859982398,44.6069895033751,45.7823916634714,46.2844425914396,46.697168516495,47.9695223600502,47.7554955579139,48.4154968082949,48.358341994835
Algeria,DZA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,8.39504849504573,9.74941999421354,9.22498210721608,9.81055803710398,9.44047738886738,7.69131487186431,7.54307759118363,7.57062579400626,6.58667599204035,9.34336541090136,8.46644357650095,8.1105898797768,8.77068635508419,9.85111712761217,10.2863970707309,11.5787073364509,12.22009479501,11.7559033143154,11.87420084925,12.3362121115896,14.1347925891274
Algeria,DZA,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,44.9803977869361,40.2337955006171,38.7737346092762,41.0650453390035,42.8451109321875,48.79732620434,49.8794232074862,47.8011172166538,48.9547800267012,35.8695428633054,39.0352417749678,39.5935039934107,37.7590610205139,33.5488958109419,30.9360343772604,23.1730973704646,21.6846825526196,23.9189229852487,26.5499528183555,23.8619148338588,18.8249165025729
Algeria,DZA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,33.1105460051791,35.7680525692121,36.0524616203378,34.4433061117171,33.583927578545,30.9601554301093,30.9590765824366,33.2228469372983,33.3851848981103,40.7583548395996,39.2460399660962,40.4668338116543,40.5044838249536,42.2042478702593,43.8892415970237,48.5191656206549,49.2931825299243,47.6352837566253,45.2874353642853,46.3987273242191,48.741457152493
American Samoa,ASM,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,..,..,21.2890625,20.6106870229008,15.5206286836935,13.6,13.5902636916836,14.8648648648649,20,24.1481481481481,7.15532286212914,3.68421052631579,13.90625,14.576802507837,11.9751166407465,13.9673105497771,13.7108792846498,10.9477124183007,13.9280125195618,12.1913580246914,..
American Samoa,ASM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
